Cluster,GHI_kWh_per_m2,ROI_Percentage,Payback_Period_Years,Solar_Viability_Score,Log_Installations,CO2_Reduction_Tons_per_Year
0,5.19,12.53,8.13,61.0,9.09,5.0
1,3.44,8.08,12.53,43.67,8.27,3.24
