,R2,RMSE,MAE,MAPE
ANN_Deep,0.5142498375068132,11.482536488532313,9.402414363819164,13.595088881060189
ANN_Baseline,-0.49253826893489094,20.127697396718332,16.51820994733454,24.579070686866885
ResNet_Style,-18.235072908000802,72.25672529700998,70.39825991241486,99.1981238750919
Wide_Deep,-18.524887488154132,72.79903573349351,70.89592789307154,99.84901600805345
