,R2,RMSE,MAE,MAPE,CV_R2
CatBoost,0.8959568801937348,5.3142017743127345,4.318042293366864,6.5463247760864665,0.8850949129229516
RandomForest,0.8955868771512248,5.3236426955093945,4.179714285714287,6.289794198856638,0.8821850426968991
LinearRegression,0.8954383052710172,5.327428917107815,4.168340719555683,6.260671601332314,0.9004532569753166
Lasso,0.8948433280410792,5.342564491536039,4.169849116080654,6.217745062760649,0.900980118514223
Ridge,0.8932357368834337,5.383247040985399,4.191208398447606,6.233246365087805,0.8998489983076313
XGBoost,0.8623363334862932,6.112811772118986,4.682956651540902,7.021372593624376,0.8678719557578043
KNN,0.8224857253096272,6.941414809708434,5.546153846153847,8.484853290694716,0.8455588315606125
DecisionTree,0.7761215010820082,7.7953846587594375,5.747252747252747,8.634579743880343,0.7590154796535364
SVR,-0.00282599340736045,16.498488109221096,13.447252747252746,21.21699978472543,0.01324444291997815
